Metric,Score
Test Accuracy,0.8846153846153846
Pass Precision,0.9130434782608695
Pass Recall,0.9545454545454546
Pass F1-Score,0.9333333333333333
Mean 5-Fold CV Accuracy,0.9028861061419201
